ID,Form,Segmented,Gloss,Translation,Parameter_ID,Lexeme_ID,Morpheme_IDs,Gramm,Source,Audio,POS
kwatope-what-for,kwatope,,,what for,what-for,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180324/YarLex_0850_AnFo_kwatojpe.wav,
kemure-purulent,këmure,,,purulent,purulent,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0703_PaPe_kemure.wav,adv
kerekemi-black,kërëkemï,,,black,black,,,,muller2021yawarana,,n
keyape-cautious,këyape,,,cautious,cautious,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0736_AnFo_keyape.wav,adv
keyare-alive,këyare,,,alive,alive,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0690_PaPe_keyare.wav,adv
mari-throw,mari,,,throw,throw,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180326/YarLex_0905_PaPe_mari-02.wav,vt
mesujre-bloody,mesujre,,,bloody,bloody,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180326/YarLex_0964_PaPe_mesujre-02.wav,adv
mesure-bloody,mesure,,,bloody,bloody,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180326/YarLex_0964_PaPe_mesujre-02.wav,adv
moronkari-make-suffer,moronkari,,,make suffer,make-suffer,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1024_PaPe_moronkari.wav,vt
motari-shoulder,motari,,,shoulder,shoulder,,,,muller2021yawarana,NOT RECORDED,n
metejye-thin,mëtëjye,,,thin,thin,,,,muller2021yawarana,NOT RECORDED,adv
nakire-thirsty,nakire,,,thirsty,thirsty,,,,muller2021yawarana,,adv
nonokemi-landowner,nonokemï,,,landowner,landowner,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180328/YarLex_1121_AnFo_nonokemi.wav,n
onoti-your-cousin,onoti,,,your cousin,your-cousin,,,,muller2021yawarana,,n
panaimari-give-advice,panaimari,,,give advice,give-advice,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1244_AnFo_panaimari.wav,vt
panakejra-disobedient-deaf,panakejra,,,disobedient; deaf,disobedient-deaf,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1249_PaPe_panakejra.wav,adv
pejmani-shaman,pejmani,,,shaman,shaman,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180330/YarLex_1302_AnFo_pejmari-02.wav,n
pekuye-full,pekuye,,,full,full,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180330/YarLex_1317_PaPe_pekuye.wav,adv
pijye-fat,pijye,,,fat,fat,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180330/YarLex_1400_PaPe_pijye.wav,adv
potijye-smelly,potijye,,,smelly,smelly,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1505_PaPe_potijye.wav,adv
punemi-pulp,punemï,,,pulp,pulp,,,,muller2021yawarana,NOT RECORDED,n
pejre-bent,pëjre,,,bent,bent,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2967_PaPe_pejre.wav,adv
pejye-bent,pëjye,,,bent,bent,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2971_AnFo_pejye.wav,adv
penakari-return,pënakari,,,return,return,,,,muller2021yawarana,NOT RECORDED,vt
pereteri-break,përëtëri,,,break,break,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180330/YarLex_1346_PaPe_pereteri.wav,vt
pereteteri-break,përëtëtëri,,,break,break,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180330/YarLex_1346_PaPe_pereteri.wav,vt
rajye-sour,rajye,,,sour,sour,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180402/YarLex_1541_AnFo_rajye-02.wav,adv
lajye-sour,lajye,,,sour,sour,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180402/YarLex_1541_AnFo_rajye-02.wav,adv
sakaijpe-slippery,sakaijpe,,,slippery,slippery,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180402/YarLex_1589_AnFo_sakaijtari-02.wav,adv
sarupe-well-toasted,sarupe,,,well toasted,well-toasted,,,,muller2021yawarana,,adv
senemari-menstruate,senemari,,,menstruate,menstruate,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1672_AnFo_senemari.wav,
setari-hear-intr,setari,,,hear (INTR),hear-intr,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1703_PaPe_setari.wav,
susujtari-become-soft,susujtari,,,become soft,become-soft,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180404/YarLex_1785_PaPe_susujtari-02.wav,vi
tajchiwere-tangled-up,tajchiwëre,,,tangled up,tangled-up,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180418/YarLex_3037_PaPe_tajchiwere.wav,adv
tajwere-sweet,tajwere,,,sweet,sweet,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1820_PaPe_tajwere.wav,adv
tajweremi-sweet,tajweremï,,,sweet,sweet,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1821_PaPe_tajweremi.wav,n
takiye-full,takiye,,,full,full,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1829_PaPe_takiye.wav,adv
