ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
nwajte-dance-ipfv-1-ipfv,nwajte-dance,ipfv,nwajte-dance-ipfv-1,
kantajne-sing-ipfv-pl-1-ipfv,kanta-sing,ipfv,kantajne-sing-ipfv-pl-1,
kantajne-sing-ipfv-pl-2-pl,kanta-sing,pl,kantajne-sing-ipfv-pl-2,
naikonton-do-ipfv-pl-1-ipfv,nai-do,ipfv,naikonton-do-ipfv-pl-1,
naikonton-do-ipfv-pl-2-pl,nai-do,pl,naikonton-do-ipfv-pl-2,
yeni-drink-ipfv-1-1-ipfv,yeni-drink,ipfv,yeni-drink-ipfv-1-1,
naijpetiri-do-plur-ipfv-2-ipfv,naijpeti-do-plur,ipfv,naijpetiri-do-plur-ipfv-2,
waijtatomo-mouse-pl-1-pl,waijta-mouse,pl,waijtatomo-mouse-pl-1,
nwajteri-dance-ipfv-1-ipfv,nwajte-dance,ipfv,nwajteri-dance-ipfv-1,
ejwenakase-vomit-pst-1-pst,ejwenaka-vomit,pst,ejwenakase-vomit-pst-1,
iwenaru-3-vomit-pert-0-3,wena-vomit,3,iwenaru-3-vomit-pert-0,
iwenaru-3-vomit-pert-2-pert,wena-vomit,pert,iwenaru-3-vomit-pert-2,
wenaru-vomit-pert-1-pert,wena-vomit,pert,wenaru-vomit-pert-1,
sujtase-urinate-pst-1-pst,sujta-urinate,pst,sujtase-urinate-pst-1,
usukuru-1-urine-pert-0-1,suku-urine,1,usukuru-1-urine-pert-0,
usukuru-1-urine-pert-2-pert,suku-urine,pert,usukuru-1-urine-pert-2,
usujta-1-urinate-ipfv-0-1,sujta-urinate,1,usujta-1-urinate-ipfv-0,
usujta-1-urinate-ipfv-2-ipfv,sujta-urinate,ipfv,usujta-1-urinate-ipfv-2,
waijtatomojpe-mouse-pl-pst-1-pl,waijta-mouse,pl,waijtatomojpe-mouse-pl-pst-1,
waijtatomojpe-mouse-pl-pst-2-pst,waijta-mouse,pst,waijtatomojpe-mouse-pl-pst-2,
tipasekontomo-go-in-group-pst-pl-1-pst,tipa-go-in-group,pst,tipasekontomo-go-in-group-pst-pl-1,
