ID,Wordform_ID,Example_ID,Index,Parameter_ID
convcosnoind-108-0,ejne-1-2pro,convcosnoind-108,0,
convcosnoind-108-1,keyatajpe-grow-pst-acnnmlz,convcosnoind-108,1,
convcosnoind-109-1,ma-rst,convcosnoind-109,1,
convcosnoind-109-2,taki-cnfrm,convcosnoind-109,2,
convcosnoind-110-0,tewi-3pro,convcosnoind-110,0,
convcosnoind-110-1,ma-rst,convcosnoind-110,1,
convcosnoind-110-3,wa-thus,convcosnoind-110,3,
convcosnoind-110-4,re-emp,convcosnoind-110,4,
convcosnoind-111-0,aaa-ah,convcosnoind-111,0,
convcosnoind-111-1,tewi-3pro,convcosnoind-111,1,
convcosnoind-111-2,ma-rst,convcosnoind-111,2,
convcosnoind-112-0,toto-non-indian,convcosnoind-112,0,
convcosnoind-112-1,tewi-3pro,convcosnoind-112,1,
convcosnoind-112-3,ti-hsy,convcosnoind-112,3,
convcosnoind-113-0,kwase-how,convcosnoind-113,0,
convcosnoind-113-1,mokontomo-2pl-pro,convcosnoind-113,1,
convcosnoind-113-3,sukase-all,convcosnoind-113,3,
convcosnoind-116-0,iyawe-3-loc,convcosnoind-116,0,
convcosnoind-116-1,taki-cnfrm,convcosnoind-116,1,
convcosnoind-116-3,ejne-1-2pro,convcosnoind-116,3,
convcosnoind-116-5,yaweno-loc-nmlz,convcosnoind-116,5,
convcosnoind-116-6,re-emp,convcosnoind-116,6,
convcosnoind-116-7,taji-foc,convcosnoind-116,7,
convcosnoind-116-8,re-emp,convcosnoind-116,8,
convcosnoind-117-2,taki-cnfrm,convcosnoind-117,2,
convcosnoind-119-0,wire-1pro,convcosnoind-119,0,
convcosnoind-119-2,taki-cnfrm,convcosnoind-119,2,
convcosnoind-120-0,nwa-thus,convcosnoind-120,0,
convcosnoind-120-1,re-emp,convcosnoind-120,1,
convcosnoind-120-2,taki-cnfrm,convcosnoind-120,2,
convcosnoind-120-3,tototomo-non-indian-pl,convcosnoind-120,3,
convcosnoind-120-4,naike-do-acnnmlz-prop,convcosnoind-120,4,
convcosnoind-120-5,tajtoj-say-circ-nmlz,convcosnoind-120,5,
convcosnoind-121-1,ma-rst,convcosnoind-121,1,
convcosnoind-121-2,taji-foc,convcosnoind-121,2,
convcosnoind-121-3,ejne-1-2pro,convcosnoind-121,3,
convcosnoind-121-6,tajtoj-say-circ-nmlz,convcosnoind-121,6,
convcosnoind-122-0,ejne-1-2pro,convcosnoind-122,0,
convcosnoind-122-1,tewi-3pro,convcosnoind-122,1,
convcosnoind-123-0,enireno-now-nmlz,convcosnoind-123,0,
convcosnoind-123-1,ma-rst,convcosnoind-123,1,
convcosnoind-123-2,taki-cnfrm,convcosnoind-123,2,
convcosnoind-123-5,tajtoj-say-circ-nmlz,convcosnoind-123,5,
convcosnoind-124-0,ejne-1-2pro,convcosnoind-124,0,
convcosnoind-126-1,ke-ins,convcosnoind-126,1,
convcosnoind-126-2,ejne-1-2pro,convcosnoind-126,2,
convcosnoind-126-3,yoti-lk-meat-pert,convcosnoind-126,3,
convcosnoind-126-4,yamane-make-ipfv,convcosnoind-126,4,
convcosnoind-126-5,wejsape-cop-pfv,convcosnoind-126,5,
convcosnoind-126-6,tewi-3pro,convcosnoind-126,6,
convcosnoind-128-0,ejne-1-2pro,convcosnoind-128,0,
convcosnoind-129-0,ejne-1-2pro,convcosnoind-129,0,
convcosnoind-129-2,tewi-3pro,convcosnoind-129,2,
convcosnoind-129-3,taki-cnfrm,convcosnoind-129,3,
convcosnoind-130-0,aniki-who,convcosnoind-130,0,
convcosnoind-130-2,ya-erg,convcosnoind-130,2,
convcosnoind-130-3,nepijpe-bring-pst,convcosnoind-130,3,
convcosnoind-131-1,sa-eval,convcosnoind-131,1,
convcosnoind-131-2,melicio-m,convcosnoind-131,2,
convcosnoind-131-3,pano-fmr,convcosnoind-131,3,
convcosnoind-131-4,chiyawe-when,convcosnoind-131,4,
convcosnoind-132-0,tewi-3pro,convcosnoind-132,0,
convcosnoind-132-1,ya-erg,convcosnoind-132,1,
convcosnoind-132-2,nepijpe-bring-pst,convcosnoind-132,2,
convcosnoind-132-3,wejsape-cop-pfv,convcosnoind-132,3,
convcosnoind-133-1,warai-like,convcosnoind-133,1,
convcosnoind-133-3,tawara-too,convcosnoind-133,3,
convcosnoind-133-4,re-emp,convcosnoind-133,4,
convcosnoind-133-6,ma-rst,convcosnoind-133,6,
convcosnoind-134-0,ejne-1-2pro,convcosnoind-134,0,
convcosnoind-134-2,taki-cnfrm,convcosnoind-134,2,
convcosnoind-134-4,yaweno-loc-nmlz,convcosnoind-134,4,
convcosnoind-134-5,ma-rst,convcosnoind-134,5,
convcosnoind-135-0,erine-cooking-pot,convcosnoind-135,0,
convcosnoind-135-1,yaweno-loc-nmlz,convcosnoind-135,1,
convcosnoind-135-2,ma-rst,convcosnoind-135,2,
convcosnoind-136-0,nono-earth,convcosnoind-136,0,
convcosnoind-136-1,tewi-3pro,convcosnoind-136,1,
convcosnoind-137-0,nono-earth,convcosnoind-137,0,
convcosnoind-137-1,yerine-lk-cooking-pot-pert,convcosnoind-137,1,
convcosnoind-138-0,ejne-1-2pro,convcosnoind-138,0,
convcosnoind-138-1,ijmojkatopo-cook-circ-nmlz,convcosnoind-138,1,
convcosnoind-139-0,enireno-now-nmlz,convcosnoind-139,0,
convcosnoind-139-1,ma-rst,convcosnoind-139,1,
convcosnoind-139-2,taki-cnfrm,convcosnoind-139,2,
convcosnoind-139-4,tajtoj-say-circ-nmlz,convcosnoind-139,4,
convcosnoind-139-6,tajne-3-pl,convcosnoind-139,6,
convcosnoind-140-0,toto-non-indian,convcosnoind-140,0,
convcosnoind-141-0,saparari-heavy-pot-pert,convcosnoind-141,0,
convcosnoind-141-1,pare-also,convcosnoind-141,1,
convcosnoind-142-0,saparari-heavy-pot-pert,convcosnoind-142,0,
convcosnoind-143-0,e-e-yes,convcosnoind-143,0,
convcosnoind-144-0,enireno-now-nmlz,convcosnoind-144,0,
convcosnoind-144-1,ma-rst,convcosnoind-144,1,
convcosnoind-144-2,taki-cnfrm,convcosnoind-144,2,
convcosnoind-144-3,sukase-all,convcosnoind-144,3,
convcosnoind-144-4,pataka-take-out-ipfv,convcosnoind-144,4,
convcosnoind-145-1,ejne-1-2pro,convcosnoind-145,1,
convcosnoind-146-1,ma-rst,convcosnoind-146,1,
convcosnoind-146-3,ejne-1-2pro,convcosnoind-146,3,
convcosnoind-147-2,neke-cntr,convcosnoind-147,2,
convcosnoind-147-3,n-ints,convcosnoind-147,3,
convcosnoind-147-4,ti-hsy,convcosnoind-147,4,
convcosnoind-147-6,wejsape-cop-pfv,convcosnoind-147,6,
