ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
serematojpe-eat-purp,yab,s-erema-tojpe,serematojpe-eat-purp,eat-PURP,s ere ma tojpe,,,,
semasape-die-abs-nmlz,yab,sëma-sapë,semasape-die-abs-nmlz,die-ABS.NMLZ,sëma sapë,,,,
kejmatojpe-hunt-purp,yab,këjma-tojpe,kejmatojpe-hunt-purp,hunt-PURP,këjma tojpe,,,,
ijmokatojpe-cook-purp,yab,ijmoka-tojpe,ijmokatojpe-cook-purp,cook-PURP,ijmoka tojpe,,,,
tajtojpe-say-purp,yab,taj-tojpe,tajtojpe-say-purp,say-PURP,taj tojpe,,,,
wejtane-cop-cncs,yab,wej-tane,wejtane-cop-cncs,COP-CNCS,wej tane,,,,
inse-see-ptcp,yab,in-se,inse-see-ptcp,see-PTCP; see-SUP,in se,,,,
ijmojkani-cook-agtnmlz,yab,ijmojka-ni,ijmojkani-cook-agtnmlz,cook-AGTNMLZ,ijmojka ni,,,,
yanse-pick-up-ptcp,yab,yan-se,yanse-pick-up-ptcp,pick_up-PTCP; pick_up-SUP,yan se,,,,
tuse-give-ptcp,yab,tu-se,tuse-give-ptcp,give-PTCP; give-SUP,tu se,,,,
teri-go-acnnmlz,yab,të-ri,teri-go-acnnmlz,go-ACNNMLZ,të ri,,,,
itopo-put-circ-nmlz,yab,i-topo,itopo-put-circ-nmlz,put-CIRC.NMLZ,i topo,,,,
yantopo-pick-up-circ-nmlz,yab,yan-topo,yantopo-pick-up-circ-nmlz,pick_up-CIRC.NMLZ,yan topo,,,,
apatakase-come-out-ptcp,yab,a-pataka-se,apatakase-come-out-ptcp,come_out-PTCP; come_out-SUP,a pata ka se,,,,
yenejpe-eat-meat-pst-acnnmlz,yab,yënë-jpë,yenejpe-eat-meat-pst-acnnmlz,eat(meat)-PST.ACNNMLZ,yënë jpë,,,,
wejsape-come-abs-nmlz,yab,wej-sapë,wejsape-come-abs-nmlz,come-ABS.NMLZ,wej sapë,,,,
apono-later-nmlz,yab,apo-no,apono-later-nmlz,later-NMLZ; meanwhile-NMLZ,apo no,,,,
moronemi-hurting-nmlz,yab,morone-mï,moronemi-hurting-nmlz,hurting-NMLZ,morone mï,,,,
enirem-now-nmlz,yab,enirë-m,enirem-now-nmlz,now-NMLZ; today-NMLZ,enirë m,,,,
tojpapeti-hit-plur,yab,tojpa-pëti,tojpapeti-hit-plur,hit-PLUR,tojpa pëti,,,,
tani-say-agtnmlz,yab,ta-ni,tani-say-agtnmlz,say-AGTNMLZ,ta ni,,,,
enijpeteno-one-nmlz,yab,enijpëtë-no,enijpeteno-one-nmlz,one-NMLZ,enijpëtë no,,,,
yampej-pick-up-plur,yab,yam-pëj,yampej-pick-up-plur,pick_up-PLUR,yam pëj,,,,
weri-kill-acnnmlz,yab,wë-ri,weri-kill-acnnmlz,kill-ACNNMLZ,wë ri,,,,
epepej-escape-plur,yab,epe-pëj,epepej-escape-plur,escape-PLUR; hide_and_seek-PLUR,epe pëj,,,,
wepej-kill-plur,yab,wë-pëj,wepej-kill-plur,kill-PLUR,wë pëj,,,,
tajtopo-say-circ-nmlz,yab,taj-topo,tajtopo-say-circ-nmlz,say-CIRC.NMLZ,taj topo,,,,
yojse-eat-starch-ptcp,yab,yoj-se,yojse-eat-starch-ptcp,eat(starch)-PTCP; eat(starch)-SUP,yoj se,,,,
yense-drink-ptcp,yab,yën-se,yense-drink-ptcp,drink-PTCP; drink-SUP,yën se,,,,
yamanse-make-ptcp,yab,yaman-se,yamanse-make-ptcp,make-PTCP; make-SUP,yaman se,,,,
yajwemari-sweeten-acnnmlz,yab,yajwema-ri,yajwemari-sweeten-acnnmlz,sweeten-ACNNMLZ,yajwe ma ri,,,,
yeniri-drink-acnnmlz,yab,yëni-ri,yeniri-drink-acnnmlz,drink-ACNNMLZ,yëni ri,,,,
semori-cry-acnnmlz,yab,sëmo-ri,semori-cry-acnnmlz,cry-ACNNMLZ,sëmo ri,,,,
senkari-finish-acnnmlz,yab,s-ënka-ri,senkari-finish-acnnmlz,finish-ACNNMLZ,s ënka ri,,,,
chijpe-cop-pst-acnnmlz,yab,chi-jpë,chijpe-cop-pst-acnnmlz,COP-PST.ACNNMLZ,chi jpë,,,,
tarojpe-say-pst-acnnmlz,yab,taro-jpë,tarojpe-say-pst-acnnmlz,say-PST.ACNNMLZ,taro jpë,,,,
watiri-burn-acnnmlz,yab,watï-ri,watiri-burn-acnnmlz,burn-ACNNMLZ,watï ri,,,,
tene-go-inf,yab,të-në,tene-go-inf,go-INF,të në,,,,
