ID,Wordform_ID,Morph_ID,Index,Gloss_ID
tapojteja-3p-want-neg-0,tapojteja-3p-want-neg,ta-3,0,3p
tapojteja-3p-want-neg-1,tapojteja-3p-want-neg,pojte-want,1,want
tapojteja-3p-want-neg-2,tapojteja-3p-want-neg,janeg,2,neg
mere-2pro-0,mere-2pro,mere-2pro,0,2pro
iniri-see-ipfv-0,iniri-see-ipfv,ini-see,0,see
iniri-see-ipfv-1,iniri-see-ipfv,ri,1,ipfv
meyarika-2-laugh-ipfv-0,meyarika-2-laugh-ipfv,me2,0,2
meyarika-2-laugh-ipfv-1,meyarika-2-laugh-ipfv,yarika-laugh,1,laugh
meyarika-2-laugh-ipfv-2,meyarika-2-laugh-ipfv,ri-zero,2,ipfv
meyaruwari-2-laugh-ipfv-0,meyaruwari-2-laugh-ipfv,me2,0,2
meyaruwari-2-laugh-ipfv-1,meyaruwari-2-laugh-ipfv,yaruwa-laugh,1,laugh
meyaruwari-2-laugh-ipfv-2,meyaruwari-2-laugh-ipfv,ri,2,ipfv
mepekepene-2-alone-0,mepekepene-2-alone,me2,0,2
mepekepene-2-alone-1,mepekepene-2-alone,pekepene-alone,1,alone
yaruwaja-laugh-neg-0,yaruwaja-laugh-neg,yaruwa-laugh,0,laugh
yaruwaja-laugh-neg-1,yaruwaja-laugh-neg,janeg,1,neg
enka-right-0,enka-right,enka-right,0,right
wanene-aunt-0,wanene-aunt,wanene-aunt,0,aunt
yaruwari-laugh-ipfv-0,yaruwari-laugh-ipfv,yaruwa-laugh,0,laugh
yaruwari-laugh-ipfv-1,yaruwari-laugh-ipfv,ri,1,ipfv
yakarama-tell-acnnmlz-1,yakarama-tell-acnnmlz,rinmlz-zero,1,acnnmlz
mare-rel-inan-0,mare-rel-inan,mare-rel-inan-1,0,"rel,inan"
yaruwakem-laugh-acnnmlz-prop-nmlz-0,yaruwakem-laugh-acnnmlz-prop-nmlz,yaruwa-laugh,0,laugh
yaruwakem-laugh-acnnmlz-prop-nmlz-1,yaruwakem-laugh-acnnmlz-prop-nmlz,rinmlz-zero,1,acnnmlz
