ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
tayenese-3p-eat-meat-pst-2-pst,yene-eat-meat,pst,tayenese-3p-eat-meat-pst-2,
anajmori-2-grandmother-pert-0-2,najmo-grandmother,2,anajmori-2-grandmother-pert-0,
anajmori-2-grandmother-pert-2-pert,najmo-grandmother,pert,anajmori-2-grandmother-pert-2,
yakarama-tell-ipfv-1-ipfv,yakarama-tell,ipfv,yakarama-tell-ipfv-1,
itaja-hear-neg-1-neg,ita-hear,neg,itaja-hear-neg-1,
samopeti-cry-plur-ipfv-2-ipfv,samopeti-cry-plur,ipfv,samopeti-cry-plur-ipfv-2,
tajrominiri-bad-omen-pert-1-pert,tajromini-bad-omen,pert,tajrominiri-bad-omen-pert-1,
semapejsejne-die-plur-pst-pl-2-pst,semapej-die-plur,pst,semapejsejne-die-plur-pst-pl-2,
semapejsejne-die-plur-pst-pl-3-pl,semapej-die-plur,pl,semapejsejne-die-plur-pst-pl-3,
uyewenke-1-lk-ignorant-0-1,ewenke-ignorant,1,uyewenke-1-lk-ignorant-0,
tewisantomojne-3pro-pl-pl-1-pl,tewisantomo-3pro-pl,pl,tewisantomojne-3pro-pl-pl-1,
yakerej-lk-relative-pert-2-pert,akere-relative-1,pert,yakerej-lk-relative-pert-2,
tayakaramari-3p-tell-ipfv-0-3,yakarama-tell,3,tayakaramari-3p-tell-ipfv-0,
tayakaramari-3p-tell-ipfv-2-ipfv,yakarama-tell,ipfv,tayakaramari-3p-tell-ipfv-2,
wenkejpejse-forget-plur-pst-2-pst,wenkejpej-forget-plur,pst,wenkejpejse-forget-plur-pst-2,
mewenkejse-2-forget-pst-0-2,wenkej-forget,2,mewenkejse-2-forget-pst-0,
mewenkejse-2-forget-pst-2-pst,wenkej-forget,pst,mewenkejse-2-forget-pst-2,
mechi-2-cop-ipfv-0-2,chi-cop,2,mechi-2-cop-ipfv-0,
mechi-2-cop-ipfv-2-ipfv,chi-cop,ipfv,mechi-2-cop-ipfv-2,
uyatam-1-adolescent-pert-0-1,yatam-adolescent,1,uyatam-1-adolescent-pert-0,
uyatam-1-adolescent-pert-2-pert,yatam-adolescent,pert,uyatam-1-adolescent-pert-2,
sepamii-get-married-hort-1-hort,sepami-get-married,hort,sepamii-get-married-hort-1,
tayeremari-3p-feed-ipfv-0-3,yerema-feed,3,tayeremari-3p-feed-ipfv-0,
tayeremari-3p-feed-ipfv-2-ipfv,yerema-feed,ipfv,tayeremari-3p-feed-ipfv-2,
sepanke-get-married-imp-1-imp,sepan-get-married,imp,sepanke-get-married-imp-1,
kintase-become-tired-pst-1-pst,kinta-become-tired,pst,kintase-become-tired-pst-1,
yakereti-lk-relative-pert-2-pert,akere-relative-1,pert,yakereti-lk-relative-pert-2,
tapeke-say-prog-tr-1-prog,ta-say,prog,tapeke-say-prog-tr-1,
pojteja-want-neg-1-neg,pojte-want,neg,pojteja-want-neg-1,
waraijtori-husband-pert-1-pert,waraijto-husband,pert,waraijtori-husband-pert-1,
taja-say-neg-1-neg,ta-say,neg,taja-say-neg-1,
winikiri-sleep-ipfv-1-ipfv,winiki-sleep,ipfv,winikiri-sleep-ipfv-1,
winikija-sleep-neg-1-neg,winiki-sleep,neg,winikija-sleep-neg-1,
sepamija-get-married-neg-1-neg,sepami-get-married,neg,sepamija-get-married-neg-1,
mukutomojne-child-pl-pl-1-pl,muku-child,pl,mukutomojne-child-pl-pl-1,
mukutomojne-child-pl-pl-2-pl,muku-child,pl,mukutomojne-child-pl-pl-2,
yerematojpano-feed-fut-concl-1-fut,yerema-feed,fut,yerematojpano-feed-fut-concl-1,
yawankaja-kill-neg-1-neg,yawanka-kill,neg,yawankaja-kill-neg-1,
tapejsaj-say-plur-pfv-2-pfv,tapej-say-plur,pfv,tapejsaj-say-plur-pfv-2,
pirikari-endure-ipfv-1-ipfv,pirika-endure,ipfv,pirikari-endure-ipfv-1,
pirikaja-endure-neg-1-neg,pirika-endure,neg,pirikaja-endure-neg-1,
ijtejpe-3-go-pst-0-3,te-go,3,ijtejpe-3-go-pst-0,
ijtejpe-3-go-pst-2-pst,te-go,pst,ijtejpe-3-go-pst-2,
apatakaja-come-out-neg-1-neg,apataka-come-out,neg,apatakaja-come-out-neg-1,
tayawankase-3p-kill-pst-0-3,yawanka-kill,3,tayawankase-3p-kill-pst-0,
tayawankase-3p-kill-pst-2-pst,yawanka-kill,pst,tayawankase-3p-kill-pst-2,
